"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama"
162570410,"Oregon",1,0,1,0,1,90,1
162376524,"Oregon",1,0,1,0,1,15,1
163156404,"Florida",0,0,0,0,1,110,NA
164357320,"Missouri",0,0,1,0,0,35,NA
162479618,"California",1,0,0,1,1,25,1
164336376,"New Jersey",0,1,1,0,0,35,0
162328621,"Michigan",0,1,1,0,0,110,0
162568697,"Minnesota",1,0,1,0,0,55,1
161834470,"Kentucky",1,0,1,0,1,65,NA
162991874,"Wyoming",1,0,1,0,1,130,1
164793036,"California",1,0,1,0,1,90,NA
162329689,"Texas",0,0,1,0,0,90,1
164979605,"Texas",1,0,0,0,0,25,1
162369980,"Indiana",0,1,1,0,1,45,0
164651704,"Florida",1,0,1,0,0,45,0
163425438,"Wisconsin",1,0,1,0,0,90,NA
162720175,"Wisconsin",1,0,1,0,0,NA,1
164826149,"Massachusetts",0,0,0,0,1,35,NA
164953729,"New York",0,1,0,0,0,25,0
164510863,"Missouri",1,0,1,0,0,15,0
162434159,"Texas",0,1,1,0,0,NA,0
163075312,"Virginia",1,0,0,1,1,55,NA
162329183,"New York",1,0,1,0,0,25,NA
162455493,"Oregon",0,1,0,0,1,90,0
163091509,"Georgia",1,0,0,1,0,15,1
162908136,"Alabama",1,0,1,0,0,35,NA
167423447,"Arizona",0,1,1,0,0,25,NA
162347348,"Maryland",0,0,1,0,0,45,0
163499039,"California",1,0,1,0,1,75,1
163187558,"Oregon",0,1,1,0,0,NA,0
163078553,"Washington",1,0,0,1,0,130,1
162848783,"New York",1,0,0,1,1,110,1
164313152,"New York",0,1,1,0,0,35,0
164376474,"Pennsylvania",1,0,1,0,0,130,1
164164407,"New York",0,0,1,0,1,55,1
163051661,"Tennessee",1,0,0,1,0,45,NA
164476863,"Iowa",0,0,1,0,0,110,NA
162180987,"Texas",0,0,1,0,0,25,NA
164555065,"Texas",0,1,0,0,0,5,0
163383306,"Vermont",0,0,1,0,0,110,0
162402080,"Maryland",0,0,1,0,0,45,1
162360513,"Delaware",0,0,1,0,0,55,1
164701696,"Kansas",0,0,0,0,1,55,0
161706362,"Tennessee",1,0,1,0,1,NA,NA
163408712,"Massachusetts",1,0,1,0,1,75,0
164179015,"California",0,0,1,0,0,45,0
165121082,"Texas",1,0,0,0,1,65,NA
162534457,"Kentucky",1,0,1,0,0,55,1
166811161,"Ohio",0,1,1,0,1,300,0
163049496,"Maine",1,0,1,0,0,35,1
164894032,"Michigan",1,0,1,0,1,65,1
162311715,"Illinois",0,1,1,0,0,55,0
163485660,"Texas",0,0,0,0,0,15,1
162851615,"Texas",0,0,0,1,1,175,1
162263814,"California",0,1,0,0,1,NA,0
162333050,"Missouri",0,1,1,0,1,45,0
162558257,"Maryland",0,0,1,0,0,55,0
162723930,"Missouri",0,0,1,0,1,65,1
162406383,"Washington",0,0,1,0,0,35,1
162374804,"Florida",0,0,1,0,0,55,NA
162276799,"Pennsylvania",1,0,1,0,0,75,1
163526031,"Nebraska",1,0,1,0,0,5,1
162302026,"Illinois",0,1,1,0,1,NA,0
162296875,"North Carolina",0,1,1,0,1,NA,0
165066437,"Florida",0,0,1,0,0,55,1
162993656,"New York",1,0,1,0,1,65,1
162358025,"Texas",1,0,1,0,1,90,1
162376532,"Oklahoma",0,0,1,0,0,45,0
164953198,"New York",1,0,1,0,1,55,1
162075069,"Texas",1,0,0,0,0,NA,NA
163544960,"New Jersey",1,0,1,0,1,55,NA
162564360,"Ohio",0,1,1,0,0,55,1
163760252,"California",1,0,0,0,0,130,1
164133137,"Virginia",1,0,1,0,1,55,0
162385984,"Kentucky",0,1,1,0,0,55,0
162525980,"Ohio",1,0,1,0,1,35,1
166671728,"California",1,0,1,0,1,65,1
164726227,"New Jersey",1,0,1,0,0,25,NA
164556336,"Massachusetts",1,0,0,1,0,45,NA
165056669,"Florida",1,0,1,0,0,90,NA
162264500,"New York",1,0,1,0,1,75,1
163250935,"Pennsylvania",0,0,1,0,1,35,1
162376573,"California",0,0,0,0,0,110,1
165432760,"Ohio",0,0,0,0,0,15,NA
161869580,"Alabama",1,0,1,0,1,110,1
164554763,"Pennsylvania",1,0,1,0,0,25,NA
162434805,"Maine",1,0,1,0,1,90,1
162253023,"Virginia",0,1,1,0,0,130,0
162504678,"California",1,0,1,0,0,55,0
162667020,"Texas",0,0,1,0,1,175,0
162887259,"Maryland",1,0,1,0,1,130,1
162649537,"New Jersey",0,0,1,0,0,55,1
